name_type,table_name,target_count
nearest_title,4. 收益,10
nearest_title,收入,9
nearest_title,收益分析如下:,7
nearest_title,收入分析如下:,6
nearest_title,(a) 分類收入資料,5
nearest_title,(b) 分部資料(續),5
nearest_title,分部收入及業績,5
nearest_title,本集團的收益分析如下:,5
nearest_title,(1) 主營業務分行業、分產品、分地區、分銷售模式情況,4
nearest_title,(a) 分拆收益資料,4
nearest_title,(a) 細分收入資料,4
nearest_title,(i) 分類收入資料,4
nearest_title,4. 收入,4
nearest_title,68. 分部信息(續),4
nearest_title,收益,4
nearest_title,有關收入的分析如下:,4
nearest_title,(a) 分拆收入資料,3
nearest_title,(a) 收入,3
nearest_title,(i) 客户合約收益分拆,3
nearest_title,3. 收益,3
nearest_title,4. 經營分部資料(續),3
nearest_title,分部收益及業績,3
nearest_title,分部業績,3
nearest_title,合併收益表,3
nearest_title,國際財務報告準則第15號範圍內的客户合約收入,3
nearest_title,截至2025年12月31日止年度的分部業績如下:,3
nearest_title,持續經營業務,3
nearest_title,收入分類,3
nearest_title,收益的分析如下:,3
nearest_title,本集團之收益分析如下:,3
nearest_title,綜合損益及其他全面收益表,3
nearest_title,(1) 分部業績、資產及負債,2
nearest_title,(1) 業務分部,2
nearest_title,(1) 業務分部(續),2
nearest_title,(1) 營業收入和營業成本情況,2
nearest_title,(2) 營業收入、營業成本按行業(或產品類型)劃分,2
nearest_title,(2) 營業收入、營業成本的分解信息,2
nearest_title,(2) 營業收入分解信息,2
nearest_title,(2) 營業收入和營業成本按業務類型分類,2
nearest_title,(a) 分部業績,2
nearest_title,(a) 分類收益資料,2
nearest_title,(a) 收入分拆資料,2
nearest_title,(a) 業務分部,2
nearest_title,(a) 經營分部,2
nearest_title,(i) 分拆收入資料,2
nearest_title,(i) 分拆收益資料,2
nearest_title,(i) 收入分拆資料,2
nearest_title,(i) 收入資料細分,2
nearest_title,(i) 細分收益資料,2
nearest_title,"* 全球WPS Office月活躍設備數定義為WPS Office各端月活躍設備數合併,不包含金山文檔、金山詞霸等產品數據。",2
nearest_title,3. 收入及分部資料,2
nearest_title,3. 收益及經營分部資料,2
nearest_title,4 收入,2
nearest_title,4 收益,2
nearest_title,5. 收入以及其他收入及收益(續),2
nearest_title,XPENG INC.,2
nearest_title,下文為本集團按可呈報分部劃分的收入及業績分析:,2
nearest_title,下文載列客户合約收益與分部資料所披露金額的對賬。,2
nearest_title,下表載列我們來自各產品類別的收入概要:,2
